id,first_name,second_name,total_points,value_season
1,Shkodran,Mustafi,43,8.4
2,Héctor,Bellerín,44,8.5
3,Sead,Kolasinac,55,10.6
4,Ainsley,Maitland-Niles,41,9.1
5,Sokratis,Papastathopoulos,57,11.9
6,Nacho,Monreal,10,2
7,Rob,Holding,16,3.6
8,Pierre-Emerick,Aubameyang,205,18.8
9,Alexandre,Lacazette,118,12.8
10,Edward,Nketiah,25,5.8
11,Bernd,Leno,114,23.8
12,Mesut,Özil,53,7.7
13,Henrikh,Mkhitaryan,4,0.6
14,Alex,Iwobi,52,9.3
15,Granit,Xhaka,73,14.3
16,Lucas,Torreira,46,9.8
17,Matteo,Guendouzi,48,11.7
18,Ahmed,El Mohamady,39,9.5
19,Neil,Taylor,22,5.2
20,Kortney,Hause,34,7.7
21,Jonathan,Kodjia,5,0.9
22,Ørjan,Nyland,15,3.5
23,Conor,Hourihane,83,14.6
24,Jack,Grealish,149,25.3
25,Anwar,El Ghazi,93,17.9
26,John,McGinn,84,16.2
27,Keinan,Davis,25,6
28,Henri,Lansbury,12,2.7
29,José Ignacio,Peleteiro Romallo,17,3
30,Shane,Duffy,44,9.2
31,Martín,Montoya,62,14.4
32,Bernardo,Fernandes da Silva Junior,21,4.9
33,Gaëtan,Bong,3,0.7
34,Lewis,Dunk,128,26.7
35,Glenn,Murray,36,6.7
36,Jürgen,Locadia,3,0.6
37,Florin,Andone,5,1.1
38,Mathew,Ryan,135,28.7
39,Pascal,Groß,76,12.3
40,Alireza,Jahanbakhsh,28,4.8
41,Yves,Bissouma,39,7.8
42,Davy,Pröpper,78,16.2
43,Solomon,March,38,8.3
44,Dale,Stephens,63,14.3
45,Steve,Cook,52,10.4
46,Nathan,Aké,79,16.5
47,Charlie,Daniels,3,0.7
48,Chris,Mepham,27,6.3
49,Simon,Francis,16,3.7
50,Adam,Smith,49,11.4
51,Lloyd,Kelly,11,2.5
52,Diego,Rico,84,20
53,Jack,Simpson,4,1
54,Callum,Wilson,116,15.7
55,Joshua,King,99,16.2
56,Dominic,Solanke,69,13.5
57,Lys,Mousset,84,19.5
58,Sam,Surridge,4,0.9
59,Mark,Travers,1,0.2
60,Ryan,Fraser,73,10.7
61,David,Brooks,21,3.4
62,Junior,Stanislas,42,7.2
63,Jordon,Ibe,2,0.4
64,Lewis,Cook,40,8
65,Andrew,Surman,6,1.3
66,Dan,Gosling,54,11.2
67,Jefferson,Lerma,65,13.5
68,Ben,Mee,110,22.4
69,James,Tarkowski,143,26
70,Matthew,Lowton,48,11.4
71,Phil,Bardsley,78,17.7
72,Charlie,Taylor,84,19.5
73,Kevin,Long,21,4.9
74,Ashley,Barnes,61,10
75,Chris,Wood,136,21.9
76,Matej,Vydra,39,7.6
77,Nick,Pope,170,32.7
78,Tom,Heaton,59,13.7
79,Johann Berg,Gudmundsson,30,5.1
80,Dwight,McNeil,123,20.5
81,Robbie,Brady,32,5.8
82,Jeff,Hendrick,67,12.4
83,Ashley,Westwood,118,21.5
84,Jack,Cork,70,14.3
85,Marcos,Alonso,100,16.4
86,Antonio,Rüdiger,63,10.7
87,César,Azpilicueta,130,21.3
88,David,Luiz Moreira Marinho,94,16.5
89,Emerson,Palmieri dos Santos,19,3.5
90,Andreas,Christensen,34,7.1
91,Olivier,Giroud,68,10.1
92,Kepa,Arrizabalaga,90,16.7
93,Willy,Caballero,13,2.7
94,Willian,Borges Da Silva,168,23
95,Pedro,Rodríguez Ledesma,32,4.7
96,Ruben,Loftus-Cheek,12,2
97,Callum,Hudson-Odoi,53,10.4
98,Ross,Barkley,61,10.9
99,Jorge Luiz,Frello Filho,92,18.8
100,N'Golo,Kanté,57,11.4
101,Daniel,Drinkwater,6,1.4
102,Aaron,Wan-Bissaka,127,23.1
103,Patrick,van Aanholt,109,19.5
104,James,Tomkins,48,9.8
105,Mamadou,Sakho,11,2.2
106,Joel,Ward,77,17.9
107,Scott,Dann,51,11.9
108,Martin,Kelly,64,15.6
109,Christian,Benteke,42,7.4
110,Connor,Wickham,15,3.5
111,Vicente,Guaita,137,28
112,Wayne,Hennessey,7,1.7
113,Wilfried,Zaha,120,18.2
114,Luka,Milivojevic,81,12.1
115,Andros,Townsend,48,8.6
116,Max,Meyer,23,4.4
117,Jeffrey,Schlupp,51,9.4
118,James,McArthur,92,17.7
119,Cheikhou,Kouyaté,85,17.7
120,Lucas,Digne,120,20.3
121,Yerry,Mina,78,14.7
122,Michael,Keane,90,17.3
123,Seamus,Coleman,55,10.4
124,Leighton,Baines,14,2.9
125,Cenk,Tosun,24,4.2
126,Dominic,Calvert-Lewin,126,20.7
127,Jordan,Pickford,117,22.5
128,Richarlison,de Andrade,165,20.1
129,Gylfi,Sigurdsson,95,13
130,Bernard,Anício Caldeira Duarte,72,11.2
131,Theo,Walcott,63,10.2
132,Tom,Davies,59,11.1
133,James,McCarthy,41,9.8
134,Morgan,Schneiderlin,18,4.1
135,Ricardo Domingos,Barbosa Pereira,123,19.8
136,Harry,Maguire,123,23.2
137,Benjamin,Chilwell,114,21.1
138,Jonny,Evans,128,24.2
139,Christian,Fuchs,26,6.2
140,Çaglar,Söyüncü,120,24.5
141,Wes,Morgan,19,4.6
142,Jamie,Vardy,210,21.6
143,Kelechi,Iheanacho,64,11.2
144,Kasper,Schmeichel,156,28.4
145,James,Maddison,125,17.1
146,Harvey,Barnes,133,22.9
147,Marc,Albrighton,38,7.5
148,Demarai,Gray,44,8.8
149,Wilfred,Ndidi,85,17
150,Matty,James,1,0.2
151,Nampalys,Mendy,11,2.6
152,Hamza,Choudhury,35,8.3
153,Andrew,Robertson,181,25.9
154,Trent,Alexander-Arnold,210,27.3
155,Virgil,van Dijk,178,27.4
156,Joseph,Gomez,93,17.5
157,Joel,Matip,39,7.5
158,Dejan,Lovren,18,3.4
159,Roberto,Firmino,155,16.7
160,Divock,Origi,65,12.7
161,Alisson,Ramses Becker,122,19.7
162,Mohamed,Salah,233,18.6
163,Sadio,Mané,221,18.3
164,Alex,Oxlade-Chamberlain,76,12.5
165,Xherdan,Shaqiri,15,2.4
166,Adam,Lallana,27,4.7
167,Naby,Keita,52,9
168,Fabio Henrique,Tavares,77,14.3
169,Jordan,Henderson,116,22.3
170,Georginio,Wijnaldum,107,19.8
171,James,Milner,49,9.2
172,Aymeric,Laporte,63,10
173,Kyle,Walker,114,20
174,Benjamin,Mendy,74,13.5
175,Fabian,Delph,24,4.5
176,Oleksandr,Zinchenko,49,9.4
177,John,Stones,34,6.4
178,Nicolás,Otamendi,82,17.1
179,Sergio,Agüero,132,11.4
180,Gabriel Fernando,de Jesus,146,14.7
181,Ederson,Santana de Moraes,133,21.8
182,Claudio,Bravo,11,2.3
183,Raheem,Sterling,204,17
184,Kevin,De Bruyne,251,23.7
185,Leroy,Sané,1,0.1
186,Riyad,Mahrez,175,20.3
187,Bernardo Mota,Veiga de Carvalho e Silva,116,15.3
188,David,Silva,139,18.5
189,Phil,Foden,69,12.5
190,Fernando,Luiz Rosa,55,10.8
191,Ilkay,Gündogan,65,12.7
192,Ashley,Young,24,4.4
193,Victor,Lindelöf,116,21.9
194,Luke,Shaw,67,12.4
195,Marcos,Rojo,3,0.6
196,Eric,Bailly,9,1.9
197,José Diogo,Dalot Teixeira,4,0.8
198,Phil,Jones,2,0.4
199,Marcus,Rashford,177,19.9
200,Mason,Greenwood,103,21.5
201,David,de Gea,143,27
202,Paul,Pogba,51,6.1
203,Anthony,Martial,200,23.5
204,Jesse,Lingard,32,5.1
205,Juan,Mata,38,6.2
206,Daniel,James,95,16.7
207,Frederico,Rodrigues de Paula Santos,50,9.8
208,Angel,Gomes,2,0.4
209,Andreas,Pereira,60,12.8
210,Nemanja,Matic,55,11.5
211,Scott,McTominay,74,15.4
212,Tahith,Chong,3,0.7
213,James,Garner,1,0.2
214,Matt,Ritchie,74,14
215,Fabian,Schär,55,11
216,DeAndre,Yedlin,26,5.9
217,Federico,Fernández,102,22.2
218,Paul,Dummett,44,10.2
219,Javier,Manquillo,65,15.1
220,Florian,Lejeune,24,5.6
221,Jamaal,Lascelles,73,17.4
222,Ciaran,Clark,49,11.4
223,Yoshinori,Muto,9,1.8
224,Martin,Dubravka,143,28
225,Ayoze,Pérez,129,21.5
226,Miguel,Almirón,109,18.8
227,Christian,Atsu,37,7
228,Sung-yueng,Ki,4,0.9
229,Jonjo,Shelvey,105,21.4
230,Sean,Longstaff,44,8.8
231,Isaac,Hayden,73,16.6
232,Timm,Klose,9,2.1
233,Ben,Godfrey,38,8.6
234,Maximillian,Aarons,66,15.7
235,Christoph,Zimmermann,35,8
236,Jamal,Lewis,48,10.9
237,Grant,Hanley,23,5.8
238,Teemu,Pukki,139,21.7
239,Dennis,Srbeny,13,2.5
240,Tim,Krul,109,23.7
241,Michael,McGovern,11,2.7
242,Mario,Vrancic,29,4.7
243,Emiliano,Buendía,94,15.7
244,Onel,Hernández,52,9.8
245,Marco,Stiepermann,32,6.4
246,Kenny,McLean,77,16
247,Todd,Cantwell,111,24.7
248,Moritz,Leitner,16,3.7
249,Alexander,Tettey,67,15.2
250,Tom,Trybull,28,6.5
251,Enda,Stevens,142,27.3
252,Kieron,Freeman,2,0.5
253,Jack,O'Connell,111,24.7
254,George,Baldock,142,28.4
255,John,Egan,133,28.3
256,John,Lundstram,144,31.3
257,Billy,Sharp,57,11
258,John,Fleck,101,21.5
259,Oliver,Norwood,98,20.9
260,David,McGoldrick,65,12
261,Jannik,Vestergaard,51,11.3
262,Ryan,Bertrand,75,15.6
263,Yan,Valery,18,3.9
264,Jan,Bednarek,84,19.1
265,Jack,Stephens,85,19.3
266,Matt,Targett,80,18.6
267,Maya,Yoshida,10,2.4
268,Danny,Ings,198,26.1
269,Michael,Obafemi,45,9.2
270,Shane,Long,62,13.5
271,Alex,McCarthy,104,23.1
272,Angus,Gunn,29,6.9
273,Nathan,Redmond,107,17.3
274,James,Ward-Prowse,117,20.5
275,Stuart,Armstrong,98,18.8
276,Pierre-Emile,Højbjerg,75,15.6
277,Oriol,Romeu Vidal,51,11.9
278,Ben,Davies,41,7.7
279,Jan,Vertonghen,62,11.9
280,Toby,Alderweireld,97,18.3
281,Danny,Rose,47,8.9
282,Davinson,Sánchez,64,12.1
283,Juan,Foyth,3,0.6
284,Serge,Aurier,124,24.3
285,Kyle,Walker-Peters,32,7.3
286,Harry,Kane,158,14.4
287,Hugo,Lloris,98,18.5
288,Paulo,Gazzaniga,58,14.1
289,Heung-Min,Son,169,17.4
290,Christian,Eriksen,48,5.6
291,Bamidele,Alli,117,14.1
292,Lucas,Rodrigues Moura da Silva,100,14.3
293,Erik,Lamela,65,11.4
294,Harry,Winks,52,10
295,Victor,Wanyama,1,0.2
296,Moussa,Sissoko,69,14.4
297,Eric,Dier,36,7.5
298,Oliver,Skipp,7,1.7
299,José,Holebas,21,4.6
300,Christian,Kabasele,73,17
301,Adam,Masina,66,15.3
302,Adrian,Mariappa,26,6.3
303,Francisco,Femenía Far,54,12.9
304,Craig,Cathcart,77,18.8
305,Daryl,Janmaat,36,9
306,Sebastian,Prödl,1,0.3
307,Troy,Deeney,109,17.6
308,Gerard,Deulofeu,88,14.4
309,Andre,Gray,39,7.1
